Run date,Cycle number,Protein concentration (μg/mL),Channel,Sample type,ASAP IDs,OpenBind IDs,SMILES,Sample concentration (M),ka (M-1s-1),ka error (%),kd (s-1),kd error (%),KD (M),Rmax (pg/mm2),Sqrt(Chi2) (pg/mm2),Used in analysis
18/03/2026,43,20.0,Ch 2-1,Sample,ASAP-0041767-001,OB-00006493-002-001,CCn1nccc1C(=O)N[C@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC |&1:10|,2.5e-05,19682.4,29.1165,1.1787,7.1949,5.99e-05,10.1485,0.33657,True
18/03/2026,43,20.0,Ch 3-1,Sample,ASAP-0041767-001,OB-00006493-002-001,CCn1nccc1C(=O)N[C@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC |&1:10|,2.5e-05,16223.7,51.8166,1.30952,9.99929,8.07e-05,11.6844,0.388946,True
18/03/2026,43,20.0,Ch 4-1,Sample,ASAP-0041767-001,OB-00006493-002-001,CCn1nccc1C(=O)N[C@H](C(=O)N1CC[C@H](C(N)=O)C1)c1ccccc1SC |&1:10|,2.5e-05,18456.0,43.0688,0.975111,11.6191,5.28e-05,6.61051,0.391416,True
18/03/2026,44,20.0,Ch 2-1,Sample,ASAP-0041784-001,OB-00006490-002-001,CSc1ccccc1[C@H](NC(=O)C1COC1)C(=O)N1CC[C@H](C(N)=O)C1 |&1:8|,2.5e-05,100.0,272030.0,1e-07,277000000.0,1e-09,0.001,0.776725,False
18/03/2026,44,20.0,Ch 3-1,Sample,ASAP-0041784-001,OB-00006490-002-001,CSc1ccccc1[C@H](NC(=O)C1COC1)C(=O)N1CC[C@H](C(N)=O)C1 |&1:8|,2.5e-05,100.0,244766.0,1e-07,248000000.0,1e-09,0.001,0.8829,False
18/03/2026,44,20.0,Ch 4-1,Sample,ASAP-0041784-001,OB-00006490-002-001,CSc1ccccc1[C@H](NC(=O)C1COC1)C(=O)N1CC[C@H](C(N)=O)C1 |&1:8|,2.5e-05,100.0,240891.0,1e-07,252000000.0,1e-09,0.001,0.803801,False
18/03/2026,51,20.0,Ch 2-1,Sample,ASAP-0041773-001,OB-00006466-002-001,CSc1ccc(-c2cnnn2C)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:21|,1e-05,64714.3,3.76877,0.208832,1.84106,3.23e-06,33.4235,1.41611,True
18/03/2026,51,20.0,Ch 3-1,Sample,ASAP-0041773-001,OB-00006466-002-001,CSc1ccc(-c2cnnn2C)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:21|,1e-05,53875.7,4.36172,0.22258,1.89637,4.13e-06,41.3258,1.79613,True
18/03/2026,51,20.0,Ch 4-1,Sample,ASAP-0041773-001,OB-00006466-002-001,CSc1ccc(-c2cnnn2C)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:21|,1e-05,58112.9,4.29335,0.211759,1.97965,3.64e-06,35.7463,1.72821,True
18/03/2026,52,20.0,Ch 2-1,Sample,ASAP-0032438-001,OB-00004791-002-001,Cc1cc(NC(=O)N2CCC[C@H](C(N)=O)C2)c2cnn(C)c2c1 |a:11|,0.0001,4285.26,750.042,0.369183,265.035,8.62e-05,0.535489,1.11718,False
18/03/2026,52,20.0,Ch 3-1,Sample,ASAP-0032438-001,OB-00004791-002-001,Cc1cc(NC(=O)N2CCC[C@H](C(N)=O)C2)c2cnn(C)c2c1 |a:11|,0.0001,4215.58,1002.37,0.386638,368.105,9.17e-05,0.390847,1.1092,False
18/03/2026,52,20.0,Ch 4-1,Sample,ASAP-0032438-001,OB-00004791-002-001,Cc1cc(NC(=O)N2CCC[C@H](C(N)=O)C2)c2cnn(C)c2c1 |a:11|,0.0001,4256.22,406.82,0.372564,151.57,8.75e-05,0.905112,1.11617,False
18/03/2026,53,20.0,Ch 2-1,Sample,ASAP-0035274-001,OB-00005375-002-001,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:20|,0.0001,4118.55,332.31,1e-07,18500000.0,2.43e-11,0.001,0.804946,False
18/03/2026,53,20.0,Ch 3-1,Sample,ASAP-0035274-001,OB-00005375-002-001,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:20|,0.0001,4003.13,448.216,1e-07,23600000.0,2.5e-11,0.001,0.97552,False
18/03/2026,53,20.0,Ch 4-1,Sample,ASAP-0035274-001,OB-00005375-002-001,COc1ccc(NS(C)(=O)=O)cc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:20|,0.0001,4089.08,371.229,1e-07,20100000.0,2.45e-11,0.001,0.730485,False
18/03/2026,54,20.0,Ch 2-1,Sample,ASAP-0032467-001,OB-00005027-002-001,"C[C@H](CNS(=O)(=O)C[C@H](C)c1cccnc1)c1ccc(F)cc1 |&1:1,&2:8|",2.5e-05,35678.7,45.1129,0.157811,25.8877,4.42e-06,0.603604,0.153402,False
18/03/2026,54,20.0,Ch 3-1,Sample,ASAP-0032467-001,OB-00005027-002-001,"C[C@H](CNS(=O)(=O)C[C@H](C)c1cccnc1)c1ccc(F)cc1 |&1:1,&2:8|",2.5e-05,15667.9,66.8888,0.386507,21.3916,2.47e-05,0.582952,0.216016,False
18/03/2026,54,20.0,Ch 4-1,Sample,ASAP-0032467-001,OB-00005027-002-001,"C[C@H](CNS(=O)(=O)C[C@H](C)c1cccnc1)c1ccc(F)cc1 |&1:1,&2:8|",2.5e-05,16059.7,46.7723,0.30531,16.0932,1.9e-05,0.754851,0.159407,False
18/03/2026,55,20.0,Ch 2-1,Sample,ASAP-0035337-001,OB-00005461-002-001,COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C12CC2 |&1:14|,2.5e-05,904.235,992.89,0.0625846,96.6,6.92e-05,1.82896,0.162491,False
18/03/2026,55,20.0,Ch 3-1,Sample,ASAP-0035337-001,OB-00005461-002-001,COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C12CC2 |&1:14|,2.5e-05,41645.4,34.257,0.0709569,40.8176,1.7e-06,0.408204,0.340932,False
18/03/2026,55,20.0,Ch 4-1,Sample,ASAP-0035337-001,OB-00005461-002-001,COc1ccccc1CC(=O)N1CC[C@H](C(N)=O)C12CC2 |&1:14|,2.5e-05,12439.8,47.1862,0.114515,26.099,9.21e-06,0.611531,0.268142,False
18/03/2026,58,20.0,Ch 2-1,Sample,ASAP-0036589-001,OB-00005667-002-001,"COc1ccccc1[C@H](C)N1C[C@H](C(N)=O)CCC1=O |&1:8,&2:12|",2.5e-05,72416.5,27.7973,0.0110403,53.4409,1.52e-07,0.623205,0.118592,True
18/03/2026,58,20.0,Ch 3-1,Sample,ASAP-0036589-001,OB-00005667-002-001,"COc1ccccc1[C@H](C)N1C[C@H](C(N)=O)CCC1=O |&1:8,&2:12|",2.5e-05,37568.7,41.6923,0.0103178,71.2372,2.75e-07,0.887184,0.211516,True
18/03/2026,58,20.0,Ch 4-1,Sample,ASAP-0036589-001,OB-00005667-002-001,"COc1ccccc1[C@H](C)N1C[C@H](C(N)=O)CCC1=O |&1:8,&2:12|",2.5e-05,32310.9,35.5136,0.0114736,55.6593,3.55e-07,0.830069,0.214239,True
18/03/2026,60,20.0,Ch 2-1,Sample,ASAP-0036524-001,OB-00005654-002-001,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2SC(F)F)C1 |a:3|,2.5e-05,48026.5,34.4899,0.044671,47.7455,9.3e-07,0.328943,0.108942,False
18/03/2026,60,20.0,Ch 3-1,Sample,ASAP-0036524-001,OB-00005654-002-001,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2SC(F)F)C1 |a:3|,2.5e-05,15700.6,47.6749,0.384997,15.5228,2.45e-05,1.09352,0.120398,True
18/03/2026,60,20.0,Ch 4-1,Sample,ASAP-0036524-001,OB-00005654-002-001,NC(=O)[C@H]1CCCN(C(=O)Nc2ccccc2SC(F)F)C1 |a:3|,2.5e-05,16061.4,43.8168,0.338194,14.8168,2.11e-05,1.01645,0.128763,True
18/03/2026,61,20.0,Ch 2-1,Sample,ASAP-0037657-001,OB-00005852-002-001,NC(=O)[C@H]1CCC(=O)N(Cc2cccc(F)c2)C1 |&1:3|,2.5e-05,46826.0,34.6249,0.0660601,42.1766,1.41e-06,0.428501,0.111838,False
18/03/2026,61,20.0,Ch 3-1,Sample,ASAP-0037657-001,OB-00005852-002-001,NC(=O)[C@H]1CCC(=O)N(Cc2cccc(F)c2)C1 |&1:3|,2.5e-05,15713.7,44.0807,0.389441,14.2896,2.48e-05,0.899386,0.0864662,True
18/03/2026,61,20.0,Ch 4-1,Sample,ASAP-0037657-001,OB-00005852-002-001,NC(=O)[C@H]1CCC(=O)N(Cc2cccc(F)c2)C1 |&1:3|,2.5e-05,16384.1,41.9262,0.350273,14.2878,2.14e-05,1.18656,0.131506,True
18/03/2026,62,20.0,Ch 2-1,Sample,ASAP-0036489-001,OB-00005660-002-001,CSc1c(F)cccc1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,2.5e-05,17619.5,37.8842,0.192652,15.637,1.09e-05,0.920886,0.117355,True
