final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
55,vaishnavi53,0.1863 ± 0.0126,0.4925 ± 0.0340,0.6289 ± 0.0521,0.8119 ± 0.0353,0.6560 ± 0.0322,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
56,AzizA-A,0.1872 ± 0.0130,0.4949 ± 0.0352,0.6239 ± 0.0535,0.7815 ± 0.0349,0.6124 ± 0.0328,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
57,DMakarov,0.1873 ± 0.0127,0.4950 ± 0.0354,0.6337 ± 0.0522,0.7726 ± 0.0341,0.5924 ± 0.0317,https://github.com/MDMISC/OpenADMET
58,jeremy,0.1876 ± 0.0150,0.4958 ± 0.0413,0.5731 ± 0.0785,0.7466 ± 0.0406,0.5754 ± 0.0350,https://github.com/jeremycheminf/openadmet_scripts/tree/main
59,itetko,0.1954 ± 0.0123,0.5162 ± 0.0314,0.6311 ± 0.0504,0.8000 ± 0.0397,0.6487 ± 0.0348,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
60,Shorku,0.1977 ± 0.0142,0.5227 ± 0.0398,0.5655 ± 0.0649,0.7666 ± 0.0385,0.5991 ± 0.0335,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
61,AIDDLin,0.1991 ± 0.0153,0.5262 ± 0.0400,0.5255 ± 0.0775,0.7185 ± 0.0398,0.5423 ± 0.0346,https://github.com/linshaolong11/CAMF.git
62,iCsmiles,0.1995 ± 0.0134,0.5271 ± 0.0338,0.5812 ± 0.0584,0.7433 ± 0.0349,0.5581 ± 0.0327,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
63,tiuel,0.1996 ± 0.0152,0.5276 ± 0.0412,0.5318 ± 0.0727,0.7222 ± 0.0426,0.5581 ± 0.0366,https://github.com/etiu/OpenAdmet_competition
64,rez3vil,0.2005 ± 0.0140,0.5299 ± 0.0386,0.5674 ± 0.0566,0.7219 ± 0.0399,0.5515 ± 0.0367,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
65,femisegvn,0.2031 ± 0.0154,0.5367 ± 0.0419,0.5124 ± 0.0761,0.7324 ± 0.0389,0.5583 ± 0.0347,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
66,ZaZdrowie,0.2034 ± 0.0127,0.5375 ± 0.0305,0.5924 ± 0.0507,0.7518 ± 0.0412,0.5875 ± 0.0350,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
67,massazahdeh,0.2066 ± 0.0125,0.5461 ± 0.0332,0.5972 ± 0.0469,0.7941 ± 0.0381,0.6399 ± 0.0347,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
68,davidgiganti,0.2070 ± 0.0154,0.5460 ± 0.0373,0.5375 ± 0.0714,0.6632 ± 0.0520,0.5095 ± 0.0420,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
69,agitter,0.2098 ± 0.0124,0.5545 ± 0.0345,0.5895 ± 0.0489,0.7618 ± 0.0389,0.5888 ± 0.0351,https://github.com/agitter/openadmet-expansionrx-challenge
70,Kandagalla,0.2109 ± 0.0158,0.5576 ± 0.0440,0.4712 ± 0.0882,0.6793 ± 0.0469,0.5120 ± 0.0383,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
71,tespharma,0.2168 ± 0.0143,0.5729 ± 0.0383,0.5185 ± 0.0577,0.7352 ± 0.0432,0.5688 ± 0.0367,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
72,Discoverybytes,0.2189 ± 0.0158,0.5786 ± 0.0443,0.4831 ± 0.0742,0.6971 ± 0.0453,0.5343 ± 0.0393,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
