final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
50,molairity,0.3636 ± 0.0079,0.8614 ± 0.0218,0.2927 ± 0.0355,0.5324 ± 0.0225,0.3745 ± 0.0171,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
51,theZone,0.3671 ± 0.0076,0.8697 ± 0.0223,0.3047 ± 0.0375,0.5517 ± 0.0215,0.3870 ± 0.0165,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
52,wleco22,0.3680 ± 0.0083,0.8717 ± 0.0211,0.2622 ± 0.0357,0.4884 ± 0.0244,0.3413 ± 0.0181,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
53,SystemsCBLab,0.3682 ± 0.0085,0.8720 ± 0.0176,0.2421 ± 0.0272,0.4175 ± 0.0261,0.2910 ± 0.0189,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
54,WakuwakuADMET,0.3687 ± 0.0083,0.8733 ± 0.0208,0.2487 ± 0.0340,0.4999 ± 0.0227,0.3481 ± 0.0170,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
55,mechaman,0.3689 ± 0.0082,0.8740 ± 0.0235,0.2767 ± 0.0377,0.5395 ± 0.0225,0.3798 ± 0.0173,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
56,rez3vil,0.3690 ± 0.0083,0.8742 ± 0.0210,0.2550 ± 0.0343,0.4821 ± 0.0237,0.3350 ± 0.0177,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
57,Kandagalla,0.3701 ± 0.0083,0.8767 ± 0.0207,0.2536 ± 0.0352,0.4789 ± 0.0245,0.3332 ± 0.0181,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
58,lifaen,0.3706 ± 0.0087,0.8780 ± 0.0249,0.2273 ± 0.0425,0.5416 ± 0.0224,0.3810 ± 0.0172,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
59,Kalen_UCL,0.3718 ± 0.0084,0.8807 ± 0.0221,0.2531 ± 0.0362,0.5039 ± 0.0231,0.3500 ± 0.0173,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
60,tiuel,0.3762 ± 0.0082,0.8912 ± 0.0208,0.2472 ± 0.0339,0.4818 ± 0.0232,0.3324 ± 0.0170,https://github.com/etiu/OpenAdmet_competition
61,DMakarov,0.3765 ± 0.0090,0.8917 ± 0.0199,0.1932 ± 0.0330,0.4537 ± 0.0249,0.3147 ± 0.0183,https://github.com/MDMISC/OpenADMET
62,ellieberry,0.3780 ± 0.0082,0.8954 ± 0.0216,0.2472 ± 0.0351,0.4990 ± 0.0226,0.3447 ± 0.0167,https://github.com/etiu/Openadmet_competition_v2
63,vibdsobeyens,0.3790 ± 0.0086,0.8979 ± 0.0235,0.2222 ± 0.0390,0.4963 ± 0.0244,0.3478 ± 0.0182,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
64,jeremy,0.3799 ± 0.0087,0.9000 ± 0.0230,0.2050 ± 0.0392,0.4549 ± 0.0249,0.3172 ± 0.0184,https://github.com/jeremycheminf/openadmet_scripts/tree/main
65,martin,0.3810 ± 0.0086,0.9026 ± 0.0234,0.2072 ± 0.0425,0.5399 ± 0.0213,0.3778 ± 0.0162,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
66,AzizA-A,0.3811 ± 0.0082,0.9027 ± 0.0221,0.2213 ± 0.0384,0.4701 ± 0.0244,0.3267 ± 0.0180,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
67,Discoverybytes,0.3829 ± 0.0089,0.9070 ± 0.0199,0.1826 ± 0.0339,0.3991 ± 0.0269,0.2771 ± 0.0195,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
68,3dprint,0.3837 ± 0.0091,0.9089 ± 0.0177,0.1564 ± 0.0304,0.4461 ± 0.0253,0.3079 ± 0.0184,https://tinyurl.com/mnb2csbe
69,EGabrielle,0.3847 ± 0.0083,0.9112 ± 0.0221,0.2204 ± 0.0365,0.4768 ± 0.0236,0.3296 ± 0.0173,https://github.com/etiu/Openadmet_competition_v2
70,csaba-percept-bio,0.3855 ± 0.0089,0.9132 ± 0.0248,0.1743 ± 0.0446,0.4896 ± 0.0243,0.3418 ± 0.0182,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
71,tomatpercept,0.3855 ± 0.0089,0.9132 ± 0.0248,0.1743 ± 0.0446,0.4896 ± 0.0243,0.3418 ± 0.0182,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
72,iCsmiles,0.3855 ± 0.0086,0.9133 ± 0.0234,0.1876 ± 0.0392,0.4489 ± 0.0249,0.3110 ± 0.0183,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
73,boltzmann4,0.3859 ± 0.0085,0.9140 ± 0.0212,0.2041 ± 0.0359,0.4549 ± 0.0249,0.3141 ± 0.0181,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
74,leeherman,0.3860 ± 0.0086,0.9143 ± 0.0224,0.2003 ± 0.0381,0.4812 ± 0.0236,0.3340 ± 0.0174,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
75,tmp1234,0.3924 ± 0.0089,0.9296 ± 0.0255,0.1596 ± 0.0459,0.4848 ± 0.0239,0.3384 ± 0.0179,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
76,diliadis,0.3925 ± 0.0093,0.9298 ± 0.0254,0.1503 ± 0.0455,0.4588 ± 0.0255,0.3217 ± 0.0190,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
77,Harshit494,0.3925 ± 0.0086,0.9298 ± 0.0223,0.1818 ± 0.0380,0.4480 ± 0.0246,0.3084 ± 0.0178,https://github.com/research-al/admet-challenge
78,femisegvn,0.3926 ± 0.0084,0.9301 ± 0.0230,0.2023 ± 0.0382,0.4695 ± 0.0240,0.3251 ± 0.0175,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
79,tespharma,0.3928 ± 0.0085,0.9306 ± 0.0264,0.1758 ± 0.0458,0.5338 ± 0.0222,0.3724 ± 0.0168,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
80,vibeADMET,0.3950 ± 0.0091,0.9357 ± 0.0244,0.1420 ± 0.0434,0.4429 ± 0.0252,0.3060 ± 0.0185,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
81,Q_Accel,0.3988 ± 0.0095,0.9447 ± 0.0256,0.0959 ± 0.0497,0.4896 ± 0.0237,0.3446 ± 0.0175,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
82,Apxjmd,0.4018 ± 0.0092,0.9518 ± 0.0216,0.0961 ± 0.0412,0.3693 ± 0.0268,0.2551 ± 0.0192,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
83,XeonChem,0.4031 ± 0.0092,0.9549 ± 0.0284,0.1076 ± 0.0517,0.5075 ± 0.0226,0.3551 ± 0.0170,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
84,madie31,0.4053 ± 0.0090,0.9602 ± 0.0253,0.1241 ± 0.0450,0.4027 ± 0.0264,0.2774 ± 0.0190,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
85,eachanjohnson,0.4073 ± 0.0090,0.9649 ± 0.0242,0.1132 ± 0.0427,0.3921 ± 0.0267,0.2695 ± 0.0192,https://github.com/eachanjohnson/challenge-2601-openadmet
