final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
56,tespharma,0.1693 ± 0.0079,0.4832 ± 0.0239,0.6434 ± 0.0389,0.8273 ± 0.0223,0.6500 ± 0.0197,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
57,theZone,0.1696 ± 0.0074,0.4838 ± 0.0223,0.6598 ± 0.0351,0.8627 ± 0.0194,0.6966 ± 0.0177,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
58,diliadis,0.1703 ± 0.0070,0.4857 ± 0.0193,0.6856 ± 0.0252,0.8573 ± 0.0166,0.6818 ± 0.0177,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
59,WakuwakuADMET,0.1722 ± 0.0082,0.4913 ± 0.0259,0.6396 ± 0.0408,0.8332 ± 0.0210,0.6564 ± 0.0194,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
60,molairity,0.1738 ± 0.0069,0.4960 ± 0.0207,0.6721 ± 0.0257,0.8527 ± 0.0157,0.6680 ± 0.0169,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
61,AzizA-A,0.1748 ± 0.0074,0.4987 ± 0.0205,0.6597 ± 0.0270,0.8269 ± 0.0187,0.6468 ± 0.0189,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
62,wleco22,0.1772 ± 0.0077,0.5055 ± 0.0247,0.6433 ± 0.0323,0.7980 ± 0.0214,0.6147 ± 0.0207,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
63,3dprint,0.1846 ± 0.0080,0.5268 ± 0.0241,0.6158 ± 0.0345,0.7835 ± 0.0227,0.5990 ± 0.0215,https://tinyurl.com/mnb2csbe
64,agitter,0.1854 ± 0.0082,0.5290 ± 0.0223,0.6026 ± 0.0320,0.8228 ± 0.0200,0.6459 ± 0.0202,https://github.com/agitter/openadmet-expansionrx-challenge
65,KNIMEST,0.1876 ± 0.0082,0.5352 ± 0.0256,0.5741 ± 0.0418,0.7968 ± 0.0206,0.6115 ± 0.0193,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
66,KagakuData,0.1886 ± 0.0082,0.5381 ± 0.0223,0.5984 ± 0.0323,0.7873 ± 0.0237,0.6098 ± 0.0220,https://github.com/KagakuAI/QSARcons
67,pequqa,0.1926 ± 0.0081,0.5496 ± 0.0257,0.5832 ± 0.0374,0.8084 ± 0.0213,0.6218 ± 0.0198,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
68,itetko,0.1948 ± 0.0076,0.5557 ± 0.0226,0.5958 ± 0.0300,0.8388 ± 0.0162,0.6505 ± 0.0174,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
69,ellieberry,0.1950 ± 0.0077,0.5562 ± 0.0218,0.6024 ± 0.0291,0.8023 ± 0.0212,0.6214 ± 0.0205,https://github.com/etiu/Openadmet_competition_v2
70,femisegvn,0.1950 ± 0.0079,0.5563 ± 0.0231,0.5923 ± 0.0311,0.7989 ± 0.0214,0.6165 ± 0.0204,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
71,iCsmiles,0.1987 ± 0.0079,0.5669 ± 0.0229,0.5927 ± 0.0325,0.7891 ± 0.0211,0.5966 ± 0.0194,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
72,tiuel,0.2019 ± 0.0082,0.5760 ± 0.0233,0.5613 ± 0.0333,0.7973 ± 0.0234,0.6210 ± 0.0212,https://github.com/etiu/OpenAdmet_competition
73,AIDDLin,0.2025 ± 0.0078,0.5777 ± 0.0239,0.5780 ± 0.0331,0.7761 ± 0.0224,0.5883 ± 0.0203,https://github.com/linshaolong11/CAMF.git
74,vibeADMET,0.2045 ± 0.0082,0.5835 ± 0.0240,0.5542 ± 0.0327,0.7891 ± 0.0219,0.6054 ± 0.0210,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
75,jonswain,0.2047 ± 0.0080,0.5839 ± 0.0243,0.5511 ± 0.0348,0.7625 ± 0.0235,0.5748 ± 0.0209,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
76,massazahdeh,0.2064 ± 0.0083,0.5888 ± 0.0246,0.5426 ± 0.0344,0.8373 ± 0.0175,0.6547 ± 0.0185,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
77,Kalen_UCL,0.2093 ± 0.0085,0.5973 ± 0.0258,0.5316 ± 0.0364,0.8068 ± 0.0221,0.6295 ± 0.0210,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
78,davidgiganti,0.2120 ± 0.0081,0.6049 ± 0.0245,0.5447 ± 0.0323,0.7803 ± 0.0199,0.5867 ± 0.0193,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
79,Apxjmd,0.2129 ± 0.0088,0.6074 ± 0.0283,0.4865 ± 0.0425,0.7252 ± 0.0242,0.5361 ± 0.0212,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
80,EGabrielle,0.2136 ± 0.0082,0.6092 ± 0.0223,0.5359 ± 0.0303,0.7753 ± 0.0238,0.5925 ± 0.0217,https://github.com/etiu/Openadmet_competition_v2
81,eq_az,0.2136 ± 0.0071,0.6094 ± 0.0208,0.5807 ± 0.0267,0.8105 ± 0.0184,0.6171 ± 0.0187,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
82,pykel,0.2162 ± 0.0084,0.6169 ± 0.0275,0.5062 ± 0.0383,0.7272 ± 0.0266,0.5509 ± 0.0240,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
83,boltzmann4,0.2176 ± 0.0083,0.6206 ± 0.0236,0.5191 ± 0.0323,0.7745 ± 0.0232,0.5894 ± 0.0214,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
84,Harshit494,0.2180 ± 0.0086,0.6220 ± 0.0238,0.5051 ± 0.0335,0.7686 ± 0.0227,0.5821 ± 0.0211,https://github.com/research-al/admet-challenge
85,csaba-percept-bio,0.2222 ± 0.0088,0.6338 ± 0.0240,0.4757 ± 0.0348,0.7345 ± 0.0246,0.5453 ± 0.0225,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
86,tomatpercept,0.2222 ± 0.0088,0.6338 ± 0.0240,0.4757 ± 0.0348,0.7345 ± 0.0246,0.5453 ± 0.0225,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
87,Srajall,0.2223 ± 0.0088,0.6344 ± 0.0269,0.4751 ± 0.0411,0.7725 ± 0.0224,0.5861 ± 0.0208,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
88,Discoverybytes,0.2271 ± 0.0091,0.6479 ± 0.0254,0.4395 ± 0.0389,0.7130 ± 0.0257,0.5218 ± 0.0225,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
89,Kandagalla,0.2308 ± 0.0087,0.6585 ± 0.0248,0.4617 ± 0.0371,0.6481 ± 0.0314,0.4734 ± 0.0260,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
90,SystemsCBLab,0.2333 ± 0.0085,0.6654 ± 0.0230,0.4528 ± 0.0346,0.7288 ± 0.0252,0.5412 ± 0.0229,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
91,rymsnyde,0.2422 ± 0.0096,0.6912 ± 0.0304,0.3626 ± 0.0482,0.7207 ± 0.0241,0.5245 ± 0.0214,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
92,mtqspr_pcamor,0.2530 ± 0.0086,0.7220 ± 0.0309,0.3680 ± 0.0448,0.8160 ± 0.0188,0.6306 ± 0.0186,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
93,sudhir2016,0.2539 ± 0.0092,0.7243 ± 0.0291,0.3480 ± 0.0497,0.6910 ± 0.0247,0.4929 ± 0.0214,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
94,metro_mehed,0.2644 ± 0.0090,0.7544 ± 0.0274,0.3470 ± 0.0390,0.6512 ± 0.0278,0.4639 ± 0.0229,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
95,haleemiliyash,0.2668 ± 0.0095,0.7611 ± 0.0276,0.3174 ± 0.0417,0.5746 ± 0.0343,0.4054 ± 0.0266,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
96,XeonChem,0.2752 ± 0.0106,0.7852 ± 0.0322,0.2144 ± 0.0515,0.7406 ± 0.0257,0.5558 ± 0.0231,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
97,eachanjohnson,0.2757 ± 0.0091,0.7865 ± 0.0251,0.2815 ± 0.0405,0.6376 ± 0.0282,0.4515 ± 0.0229,https://github.com/eachanjohnson/challenge-2601-openadmet
98,mkruege,0.2883 ± 0.0101,0.8226 ± 0.0335,0.1880 ± 0.0514,0.7101 ± 0.0254,0.5165 ± 0.0213,https://doi.org/10.17617/3.GIKHJL
99,latticetower,0.2917 ± 0.0108,0.8321 ± 0.0312,0.1559 ± 0.0636,0.5573 ± 0.0329,0.3869 ± 0.0248,https://github.com/latticetower/chemney
100,redjay,0.3546 ± 0.0114,1.0114 ± 0.0248,-0.1174 ± 0.0457,0.3314 ± 0.0489,0.2304 ± 0.0354,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
101,boltzmann_xgb,0.4544 ± 0.0139,1.2965 ± 0.0481,-0.8377 ± 0.1032,0.6443 ± 0.0312,0.4696 ± 0.0260,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
102,Sean-Wong,0.6722 ± 0.0178,1.9183 ± 0.0707,-2.7041 ± 0.1931,0.7677 ± 0.0220,0.5791 ± 0.0204,https://github.com/Wang-Lin-boop/Ouroboros
103,little-WM-atw-2,0.6769 ± 0.0184,1.9318 ± 0.0734,-2.8095 ± 0.1964,0.1763 ± 0.0481,0.1199 ± 0.0327,https://github.com/azminewasi/OpenADMET_ExpansionRx
