rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
233,batu-kav,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-06 07:20:06+00:00,https://Baseline model using challenge tutorial
234,jlo,0.76 +/- 0.03,0.34 +/- 0.05,0.64 +/- 0.03,0.47 +/- 0.02,2026-01-17 03:50:08+00:00,
235,pg-3,0.76 +/- 0.03,0.32 +/- 0.05,0.64 +/- 0.03,0.47 +/- 0.02,2026-01-17 21:12:34+00:00,https://docs.google.com/document/d/1ZdrAFOsqe1iZGWu2zGxvbowqkjXFb48UFNbprS2_6pU/
236,MolecularForgeAI,0.76 +/- 0.03,0.28 +/- 0.05,0.61 +/- 0.03,0.45 +/- 0.02,2025-12-11 15:56:43+00:00,
237,hmacdope,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-18 18:44:46+00:00,
238,hmacdope3,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-08 23:35:29+00:00,
239,shedit-OpenADMET,0.76 +/- 0.03,0.34 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-04 20:11:22+00:00,
240,Kandagalla,0.76 +/- 0.03,0.30 +/- 0.05,0.61 +/- 0.03,0.44 +/- 0.02,2026-01-19 13:01:28+00:00,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
241,rabbit,0.76 +/- 0.03,0.35 +/- 0.04,0.63 +/- 0.03,0.46 +/- 0.02,2026-01-12 06:25:25+00:00,
242,AIDDLin,0.76 +/- 0.03,0.31 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-18 05:38:07+00:00,https://github.com/linshaolong11/CAMF.git
243,jace,0.76 +/- 0.03,0.34 +/- 0.05,0.64 +/- 0.03,0.47 +/- 0.02,2026-01-15 14:16:34+00:00,
244,irriok,0.76 +/- 0.03,0.26 +/- 0.06,0.66 +/- 0.03,0.49 +/- 0.02,2025-11-07 09:29:51+00:00,
245,minzina-tab2-clip,0.76 +/- 0.03,0.30 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-11 18:02:45+00:00,
