final rank,initial rank,user,CLD,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
81,248,tomatpercept,Y,0.3405 ± 0.0033,0.7736 ± 0.0081,0.2929 ± 0.0129,0.5988 ± 0.0089,0.4331 ± 0.0074,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
82,208,Harshit494,Z,0.3452 ± 0.0032,0.7765 ± 0.0089,0.3186 ± 0.0133,0.6191 ± 0.0088,0.4506 ± 0.0074,https://github.com/research-al/admet-challenge
83,207,vibeADMET,@a,0.3489 ± 0.0032,0.7822 ± 0.0092,0.3015 ± 0.0141,0.6041 ± 0.0087,0.4398 ± 0.0073,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
84,261,SystemsCBLab,@b,0.3447 ± 0.0032,0.7926 ± 0.0082,0.2898 ± 0.0125,0.5955 ± 0.0093,0.4349 ± 0.0075,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
85,198,XeonChem,@c,0.3441 ± 0.0035,0.7964 ± 0.0109,0.1959 ± 0.0200,0.6288 ± 0.0093,0.4632 ± 0.0076,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
86,259,Discoverybytes,@c,0.3571 ± 0.0035,0.7978 ± 0.0091,0.2630 ± 0.0146,0.5599 ± 0.0099,0.4019 ± 0.0080,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
87,214,mkruege,@d,0.3478 ± 0.0034,0.8011 ± 0.0110,0.2317 ± 0.0187,0.6270 ± 0.0082,0.4549 ± 0.0068,https://doi.org/10.17617/3.GIKHJL
88,149,massazahdeh,@d,0.3646 ± 0.0152,0.8014 ± 0.0288,-7.9559 ± 3.1500,0.6992 ± 0.0075,0.5244 ± 0.0066,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
89,242,AIDDLin,@e,0.3595 ± 0.0036,0.8119 ± 0.0098,0.2048 ± 0.0172,0.5706 ± 0.0089,0.4119 ± 0.0072,https://github.com/linshaolong11/CAMF.git
90,277,rymsnyde,@f,0.3637 ± 0.0034,0.8308 ± 0.0104,0.1705 ± 0.0181,0.5764 ± 0.0089,0.4179 ± 0.0072,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
