final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
91,pykel,0.3449 ± 0.0065,0.9644 ± 0.0235,-0.1144 ± 0.0439,0.5490 ± 0.0185,0.3875 ± 0.0143,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
92,metro_mehed,0.3474 ± 0.0060,0.9715 ± 0.0207,-0.0577 ± 0.0372,0.5499 ± 0.0190,0.3900 ± 0.0147,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
93,eq_az,0.3566 ± 0.0061,0.9972 ± 0.0184,-0.1002 ± 0.0316,0.5036 ± 0.0179,0.3419 ± 0.0129,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
94,iCsmiles,0.3739 ± 0.0069,1.0454 ± 0.0225,-0.2881 ± 0.0430,0.4327 ± 0.0208,0.2949 ± 0.0151,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
95,latticetower,0.3751 ± 0.0073,1.0490 ± 0.0276,-0.3335 ± 0.0545,0.4682 ± 0.0202,0.3217 ± 0.0148,https://github.com/latticetower/chemney
96,haleemiliyash,0.3897 ± 0.0074,1.0898 ± 0.0226,-0.4042 ± 0.0502,0.2674 ± 0.0233,0.1791 ± 0.0158,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
97,boltzmann_xgb,0.3921 ± 0.0070,1.0963 ± 0.0201,-0.3854 ± 0.0374,0.4015 ± 0.0225,0.2763 ± 0.0161,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
98,eachanjohnson,0.3957 ± 0.0067,1.1066 ± 0.0207,-0.3563 ± 0.0391,0.2573 ± 0.0228,0.1784 ± 0.0152,https://github.com/eachanjohnson/challenge-2601-openadmet
99,Apxjmd,0.4177 ± 0.0072,1.1678 ± 0.0209,-0.5145 ± 0.0420,0.0641 ± 0.0260,0.0407 ± 0.0178,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
100,redjay,0.4307 ± 0.0071,1.2044 ± 0.0215,-0.5686 ± 0.0417,0.0567 ± 0.0233,0.0426 ± 0.0150,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
101,Srajall,0.4318 ± 0.0076,1.2072 ± 0.0203,-0.6682 ± 0.0392,-0.4100 ± 0.0211,-0.2827 ± 0.0152,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
102,Sean-Wong,0.5844 ± 0.0094,1.6341 ± 0.0332,-1.8699 ± 0.0733,0.6532 ± 0.0159,0.4732 ± 0.0132,https://github.com/Wang-Lin-boop/Ouroboros
103,little-WM-atw-2,1.0476 ± 0.0102,2.9295 ± 0.0545,-6.4435 ± 0.2076,-0.1135 ± 0.0242,-0.0758 ± 0.0162,https://github.com/azminewasi/OpenADMET_ExpansionRx
