final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
64,itetko,0.2434 ± 0.0085,0.7590 ± 0.0349,0.4083 ± 0.0474,0.7309 ± 0.0243,0.5421 ± 0.0227,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
65,rez3vil,0.2443 ± 0.0095,0.7615 ± 0.0350,0.3527 ± 0.0529,0.6531 ± 0.0317,0.4809 ± 0.0265,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
66,Kandagalla,0.2449 ± 0.0086,0.7631 ± 0.0266,0.4083 ± 0.0355,0.6421 ± 0.0283,0.4540 ± 0.0232,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
67,KNIMEST,0.2487 ± 0.0091,0.7757 ± 0.0379,0.3536 ± 0.0544,0.7127 ± 0.0254,0.5215 ± 0.0225,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
68,AzizA-A,0.2526 ± 0.0091,0.7876 ± 0.0348,0.3523 ± 0.0502,0.6483 ± 0.0303,0.4689 ± 0.0254,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
69,leeherman,0.2531 ± 0.0103,0.7892 ± 0.0404,0.2991 ± 0.0621,0.6720 ± 0.0290,0.4904 ± 0.0253,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
70,Kalen_UCL,0.2543 ± 0.0091,0.7928 ± 0.0377,0.3459 ± 0.0536,0.6858 ± 0.0279,0.4997 ± 0.0239,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
71,briford,0.2580 ± 0.0090,0.8046 ± 0.0371,0.3348 ± 0.0546,0.6878 ± 0.0270,0.5003 ± 0.0239,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
72,jonswain,0.2581 ± 0.0100,0.8047 ± 0.0370,0.2604 ± 0.0616,0.5472 ± 0.0387,0.3998 ± 0.0307,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
73,EGabrielle,0.2592 ± 0.0092,0.8079 ± 0.0316,0.3269 ± 0.0443,0.6220 ± 0.0308,0.4422 ± 0.0248,https://github.com/etiu/Openadmet_competition_v2
74,theZone,0.2618 ± 0.0090,0.8164 ± 0.0389,0.3070 ± 0.0564,0.7258 ± 0.0249,0.5368 ± 0.0225,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
75,Apxjmd,0.2666 ± 0.0096,0.8309 ± 0.0333,0.2689 ± 0.0535,0.5834 ± 0.0330,0.4094 ± 0.0259,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
76,tiuel,0.2710 ± 0.0096,0.8450 ± 0.0366,0.2713 ± 0.0529,0.6196 ± 0.0316,0.4423 ± 0.0263,https://github.com/etiu/OpenAdmet_competition
