final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
66,riemann,0.4448 ± 0.0086,0.5477 ± 0.0117,0.6658 ± 0.0175,0.8205 ± 0.0085,0.6431 ± 0.0087,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
67,diliadis,0.4468 ± 0.0088,0.5502 ± 0.0106,0.6508 ± 0.0170,0.8113 ± 0.0088,0.6351 ± 0.0089,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
68,pequqa,0.4482 ± 0.0090,0.5519 ± 0.0109,0.6439 ± 0.0152,0.8284 ± 0.0091,0.6579 ± 0.0087,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
69,SystemsCBLab,0.4527 ± 0.0093,0.5575 ± 0.0118,0.6359 ± 0.0206,0.8124 ± 0.0093,0.6370 ± 0.0091,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
70,leeherman,0.4539 ± 0.0091,0.5590 ± 0.0115,0.6331 ± 0.0185,0.7977 ± 0.0096,0.6224 ± 0.0094,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
71,rez3vil,0.4662 ± 0.0097,0.5741 ± 0.0125,0.5966 ± 0.0220,0.7811 ± 0.0109,0.6127 ± 0.0101,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
72,mkruege,0.4692 ± 0.0085,0.5778 ± 0.0126,0.6443 ± 0.0149,0.8160 ± 0.0086,0.6357 ± 0.0085,https://doi.org/10.17617/3.GIKHJL
73,AzizA-A,0.4817 ± 0.0096,0.5931 ± 0.0124,0.5933 ± 0.0205,0.7753 ± 0.0107,0.6000 ± 0.0099,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
74,wleco22,0.4833 ± 0.0097,0.5952 ± 0.0120,0.5855 ± 0.0205,0.7707 ± 0.0107,0.5952 ± 0.0099,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
75,tiuel,0.4873 ± 0.0095,0.6001 ± 0.0120,0.5897 ± 0.0190,0.7650 ± 0.0108,0.5888 ± 0.0100,https://github.com/etiu/OpenAdmet_competition
76,Kalen_UCL,0.4880 ± 0.0092,0.6009 ± 0.0124,0.6038 ± 0.0170,0.7722 ± 0.0102,0.5928 ± 0.0097,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
77,agitter,0.4902 ± 0.0096,0.6037 ± 0.0123,0.5799 ± 0.0199,0.7598 ± 0.0110,0.5837 ± 0.0102,https://github.com/agitter/openadmet-expansionrx-challenge
78,KagakuData,0.4934 ± 0.0108,0.6076 ± 0.0138,0.5333 ± 0.0259,0.7814 ± 0.0117,0.6174 ± 0.0104,https://github.com/KagakuAI/QSARcons
79,csaba-percept-bio,0.4962 ± 0.0091,0.6110 ± 0.0119,0.5859 ± 0.0169,0.7609 ± 0.0108,0.5828 ± 0.0101,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
80,tomatpercept,0.4962 ± 0.0091,0.6110 ± 0.0119,0.5859 ± 0.0169,0.7609 ± 0.0108,0.5828 ± 0.0101,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
81,3dprint,0.4977 ± 0.0101,0.6128 ± 0.0121,0.5563 ± 0.0212,0.7502 ± 0.0120,0.5784 ± 0.0108,https://tinyurl.com/mnb2csbe
82,Apxjmd,0.5024 ± 0.0094,0.6187 ± 0.0131,0.5782 ± 0.0207,0.7727 ± 0.0106,0.5957 ± 0.0098,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
83,boltzmann4,0.5077 ± 0.0093,0.6252 ± 0.0119,0.5700 ± 0.0171,0.7665 ± 0.0100,0.5839 ± 0.0094,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
84,jonswain,0.5111 ± 0.0104,0.6294 ± 0.0150,0.5352 ± 0.0248,0.7711 ± 0.0108,0.5952 ± 0.0102,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
